2024-03-11,1,Deep Freese,Baltimore Orioles,Adley Rutschman,C,2024-03-12 14:48:04
2024-03-11,1,Deep Freese,Baltimore Orioles,Adley Rutschman,C,2024-03-12 14:50:34
2024-03-11,1,Deep Freese,Baltimore Orioles,Adley Rutschman,C,2024-03-12 14:57:36
2024-03-11,1,Deep Freese,Los Angeles Dodgers,Freddie Freeman,1B,2024-03-12 14:57:38
2024-03-11,1,Deep Freese,Boston Red Sox,Trevor Story,2B,2024-03-12 14:57:39
2024-03-11,1,Deep Freese,Baltimore Orioles,Gunnar Henderson,3B,2024-03-12 14:57:39
2024-03-11,1,Deep Freese,Philadelphia Phillies,Trea Turner,SS,2024-03-12 14:57:39
2024-03-11,1,Deep Freese,San Diego Padres,Fernando Tatis,SS,2024-03-12 14:57:40
2024-03-11,1,Deep Freese,Miami Marlins,Jazz Chisholm,2B,2024-03-12 14:57:40
2024-03-11,1,Deep Freese,St. Louis Cardinals,Jordan Walker,3B,2024-03-12 14:57:41
2024-03-11,1,Deep Freese,Houston Astros,Jeremy Pena,SS,2024-03-12 14:57:41
2024-03-11,1,Deep Freese,Cleveland Guardians,Steven Kwan,OF,2024-03-12 14:57:45
2024-03-11,1,Deep Freese,Washington Nationals,CJ Abrams,2B,2024-03-12 14:57:45
2024-03-11,1,Deep Freese,St. Louis Cardinals,Nolan Gorman,2B,2024-03-12 14:57:46
2024-03-11,1,Deep Freese,St. Louis Cardinals,Sonny Gray,SP,2024-03-12 14:57:46
2024-03-11,1,Deep Freese,Detroit Tigers,Michael Lorenzen,SP,2024-03-12 14:57:46
2024-03-11,1,Deep Freese,Los Angeles Dodgers,Tyler Glasnow,SP,2024-03-12 14:57:47
2024-03-11,1,Deep Freese,Los Angeles Angels,Matt Moore,RP,2024-03-12 14:57:47
2024-03-11,1,Deep Freese,San Francisco Giants,Jordan Hicks,SP,2024-03-12 14:57:48
2024-03-11,1,Deep Freese,Pittsburgh Pirates,Aroldis Chapman,RP,2024-03-12 14:57:48
2024-03-11,1,Deep Freese,Los Angeles Dodgers,Evan Phillips,RP,2024-03-12 14:57:49
2024-03-11,1,Deep Freese,Los Angeles Dodgers,Julio Urias,SP,2024-03-12 14:57:49
2024-03-11,1,Deep Freese,Houston Astros,Framber Valdez,SP,2024-03-12 14:57:50
2024-03-11,1,Deep Freese,Boston Red Sox,Lucas Giolito,SP,2024-03-12 14:57:50
2024-03-11,1,Deep Freese,Miami Marlins,Sandy Alcantara,SP,2024-03-12 14:57:50
2024-03-11,1,Deep Freese,Los Angeles Angels,Mike Trout,OF,2024-03-12 14:57:51
2024-03-11,1,Deep Freese,St. Louis Cardinals,Lars Nootbaar,OF,2024-03-12 14:57:51
2024-03-11,1,Deep Freese,Atlanta Braves,Jarred Kelenic,OF,2024-03-12 14:57:52
2024-03-11,1,Deep Freese,Cleveland Guardians,Triston McKenzie,SP,2024-03-12 14:57:52
2024-03-11,1,Deep Freese,San Francisco Giants,Robbie Ray,SP,2024-03-12 14:57:53
2024-03-11,2,Acuna Matata,Atlanta Braves,Sean Murphy,C,2024-03-12 14:57:53
2024-03-11,2,Acuna Matata,Baltimore Orioles,Ryan Mountcastle,1B,2024-03-12 14:57:53
2024-03-11,2,Acuna Matata,Atlanta Braves,Ozzie Albies,2B,2024-03-12 14:57:54
2024-03-11,2,Acuna Matata,Arizona Diamondbacks,Eugenio Suarez,3B,2024-03-12 14:57:54
2024-03-11,2,Acuna Matata,Minnesota Twins,Carlos Correa,SS,2024-03-12 14:57:55
2024-03-11,2,Acuna Matata,Atlanta Braves,Ronald Acuna,OF,2024-03-12 14:57:55
2024-03-11,2,Acuna Matata,Miami Marlins,Bryan De La Cruz,OF,2024-03-12 14:57:56
2024-03-11,2,Acuna Matata,Oakland Athletics,Esteury Ruiz,OF,2024-03-12 14:57:56
2024-03-11,2,Acuna Matata,Cleveland Guardians,Josh Naylor,1B,2024-03-12 14:57:56
2024-03-11,2,Acuna Matata,New York Mets,Francisco Lindor,SS,2024-03-12 14:57:57
2024-03-11,2,Acuna Matata,Colorado Rockies,Kris Bryant,1B,2024-03-12 14:57:57
2024-03-11,2,Acuna Matata,Kansas City Royals,Seth Lugo,SP,2024-03-12 14:57:58
2024-03-11,2,Acuna Matata,Tampa Bay Rays,Zach Eflin,SP,2024-03-12 14:57:58
2024-03-11,2,Acuna Matata,Toronto Blue Jays,Jose Berrios,SP,2024-03-12 14:57:59
2024-03-11,2,Acuna Matata,Texas Rangers,David Robertson,RP,2024-03-12 14:57:59
2024-03-11,2,Acuna Matata,Minnesota Twins,Jhoan Duran,RP,2024-03-12 14:57:59
2024-03-11,2,Acuna Matata,Atlanta Braves,Raisel Iglesias,RP,2024-03-12 14:58:00
2024-03-11,2,Acuna Matata,Detroit Tigers,Alex Lange,RP,2024-03-12 14:58:00
2024-03-11,2,Acuna Matata,Tampa Bay Rays,Aaron Civale,SP,2024-03-12 14:58:01
2024-03-11,2,Acuna Matata,Atlanta Braves,Bryce Elder,SP,2024-03-12 14:58:01
2024-03-11,2,Acuna Matata,Cincinnati Reds,Andrew Abbott,SP,2024-03-12 14:58:02
2024-03-11,2,Acuna Matata,Houston Astros,Justin Verlander,SP,2024-03-12 14:58:02
2024-03-11,2,Acuna Matata,Los Angeles Dodgers,Clayton Kershaw,SP,2024-03-12 14:58:02
2024-03-11,2,Acuna Matata,Pittsburgh Pirates,Oneil Cruz,SS,2024-03-12 14:58:03
2024-03-11,3,Elmira Pioneers,Texas Rangers,Jonah Heim,C,2024-03-12 14:58:04
2024-03-11,3,Elmira Pioneers,Toronto Blue Jays,Vladimir Guerrero,1B,2024-03-12 14:58:04
2024-03-11,3,Elmira Pioneers,Atlanta Braves,Orlando Arcia,2B,2024-03-12 14:58:04
2024-03-11,3,Elmira Pioneers,Boston Red Sox,Rafael Devers,3B,2024-03-12 14:58:05
2024-03-11,3,Elmira Pioneers,Cincinnati Reds,Elly De La Cruz,3B,2024-03-12 14:58:05
2024-03-11,3,Elmira Pioneers,Chicago Cubs,Ian Happ,OF,2024-03-12 14:58:06
2024-03-11,3,Elmira Pioneers,Texas Rangers,Adolis Garcia,OF,2024-03-12 14:58:06
2024-03-11,3,Elmira Pioneers,Baltimore Orioles,Cedric Mullins,OF,2024-03-12 14:58:07
2024-03-11,3,Elmira Pioneers,Kansas City Royals,Bobby Witt,3B,2024-03-12 14:58:07
2024-03-11,3,Elmira Pioneers,Seattle Mariners,Ty France,1B,2024-03-12 14:58:08
2024-03-11,3,Elmira Pioneers,Chicago Cubs,Nico Hoerner,2B,2024-03-12 14:58:08
2024-03-11,3,Elmira Pioneers,San Diego Padres,Jake Cronenworth,1B,2024-03-12 14:58:08
2024-03-11,3,Elmira Pioneers,Philadelphia Phillies,Alec Bohm,1B,2024-03-12 14:58:09
2024-03-11,3,Elmira Pioneers,Miami Marlins,Jesus Luzardo,SP,2024-03-12 14:58:09
2024-03-11,3,Elmira Pioneers,Pittsburgh Pirates,Quinn Priester,SP,2024-03-12 14:58:10
2024-03-11,3,Elmira Pioneers,Texas Rangers,Dane Dunning,SP,2024-03-12 14:58:10
2024-03-11,3,Elmira Pioneers,Cincinnati Reds,Alexis Diaz,RP,2024-03-12 14:58:10
